category,department,verdict,n_pairs,net_effect_usd,t_stat,net_effect_pct,qty_lift_pct,disc_rate_treated_pct,elasticity,post56_effect_usd,t_cannibalization,significant_bh,panel_product_lift_pct,sku_mix_shift_pct,halo_effect_usd,t_halo,basket_total_usd,t_basket
BREAKFAST SWEETS,PASTRY,불확실,216,-0.129,-1.53,-5.9,2.7,35.4,0.1,0.039,-0.8295099485483891,False,,19.2,3.321,1.41,3.192,1.36
BAG SNACKS,GROCERY,확대,655,0.337,5.52,10.1,4.9,20.0,0.36,-0.271,-1.6503522506635868,True,60.9,13.7,6.782,5.14,7.119,5.32
LAUNDRY DETERGENTS,GROCERY,불확실,151,-0.38,-1.62,-5.2,3.4,27.5,0.19,-0.129,-1.5318619224806045,False,,14.6,2.256,0.78,1.876,0.66
COFFEE,GROCERY,축소,109,0.51,2.65,9.6,9.2,30.7,0.43,-0.97,-2.1007351024455385,True,,28.2,-1.638,-0.52,-1.127,-0.35
CANNED JUICES,GROCERY,축소,241,0.297,2.59,7.9,16.2,21.7,1.16,-0.824,-2.18277958195746,True,,10.4,2.377,0.96,2.674,1.07
TROPICAL FRUIT,PRODUCE,축소,940,-0.27,-14.04,-21.0,7.3,30.3,0.25,-0.072,-2.253482432322609,True,,-0.2,-0.216,-0.23,-0.486,-0.52
MELONS,PRODUCE,축소,143,-0.714,-7.14,-22.7,12.9,30.1,0.51,-0.375,-1.6391743261573364,True,,-9.2,-1.076,-0.36,-1.791,-0.6
DRY BN/VEG/POTATO/RICE,GROCERY,축소,104,0.526,3.14,18.9,40.5,23.9,2.47,-0.877,-2.826656816139042,True,,-2.2,1.765,0.47,2.291,0.6
REFRGRATD DOUGH PRODUCTS,GROCERY,축소,437,0.174,2.69,5.7,25.2,29.5,1.24,-0.414,-3.3594515729078243,True,,5.1,1.928,1.13,2.102,1.22
CRACKERS/MISC BKD FD,GROCERY,확대,416,0.198,3.13,7.2,16.6,28.9,0.91,-0.202,-1.866458744567496,True,49.3,12.0,4.552,2.76,4.751,2.85
SEAFOOD-FRESH,SEAFOOD-PCKGD,불확실,105,0.492,1.34,7.3,10.3,27.6,0.57,-0.485,-0.6135314840429509,False,167.1,16.9,5.81,1.92,6.302,2.1
BAKED SWEET GOODS,GROCERY,확대,235,0.383,4.21,12.8,23.5,25.0,1.32,-0.093,-0.883905581978448,True,,18.7,6.881,3.11,7.264,3.24
