design,event_week,beta,se,ci_low,ci_high,t
진열,-3,0.0153,0.0052,0.0051,0.0255,2.94
진열,-2,0.0153,0.0047,0.0061,0.0245,3.26
진열,-1,0.0377,0.0052,0.0275,0.0479,7.25
진열,0,0.1454,0.0113,0.1233,0.1675,12.87
진열,1,0.0379,0.0051,0.0279,0.0479,7.43
진열,2,0.0245,0.0053,0.0141,0.0349,4.62
진열,3,0.0152,0.0047,0.006,0.0244,3.23
전단지,-2,-0.0078,0.0105,-0.0284,0.0128,-0.74
전단지,-1,0.0407,0.0054,0.0301,0.0513,7.54
전단지,0,0.4397,0.0346,0.3719,0.5075,12.71
전단지,1,-0.0143,0.0104,-0.0347,0.0061,-1.38
전단지,2,0.0097,0.0098,-0.0095,0.0289,0.99
