household_key,dd_value,dd_lines,quintile_value,quintile_lines,net_sales,n_visits
522,0.00979,0.125,1,1,29.0,3
1730,0.01168,0.78788,1,5,3510.0,167
657,0.01464,0.09091,1,1,120.0,20
1386,0.01724,0.14286,1,1,111.0,8
2219,0.01852,0.57813,1,5,1077.0,23
1885,0.02366,0.35,1,1,265.0,13
120,0.0271,0.34375,1,1,242.0,19
991,0.02735,0.35632,1,1,1420.0,31
821,0.02942,0.35088,1,1,465.0,17
494,0.02969,0.25,1,1,8.0,1
1100,0.03364,0.41667,1,1,313.0,26
446,0.0371,0.2623,1,1,212.0,30
902,0.03785,0.32143,1,1,135.0,10
853,0.03876,0.27881,1,1,13497.0,516
2394,0.03994,0.42745,1,2,1538.0,84
1727,0.04112,0.44444,1,2,149.0,2
1805,0.04137,0.19632,1,1,792.0,77
2257,0.04411,0.20574,1,1,792.0,75
299,0.04434,0.2069,1,1,242.0,11
755,0.04751,0.59079,1,5,10617.0,307
1897,0.04767,0.4,1,1,20.0,1
1626,0.04787,0.625,1,5,43.0,2
1663,0.04925,0.53279,1,4,1834.0,196
1144,0.05199,0.36207,1,1,187.0,24
1799,0.05283,0.24855,1,1,395.0,52
2192,0.05291,0.23596,1,1,492.0,29
89,0.05296,0.23404,1,1,178.0,11
1023,0.05306,0.36021,1,1,38320.0,603
1723,0.05444,0.21895,1,1,4469.0,86
835,0.05527,0.23188,1,1,274.0,17
759,0.05571,0.29301,1,1,1274.0,41
1788,0.05603,0.29185,1,1,9072.0,152
2191,0.05875,0.36709,1,1,781.0,15
1533,0.05909,0.22951,1,1,255.0,22
186,0.05972,0.30769,1,1,60.0,3
112,0.05972,0.4359,1,2,1343.0,80
1893,0.05994,0.48438,1,3,374.0,18
1844,0.06019,0.25751,1,1,1524.0,83
1035,0.06051,0.08571,1,1,183.0,4
2163,0.06092,0.43902,1,2,356.0,14
754,0.06098,0.23568,1,1,1535.0,32
720,0.06101,0.29217,1,1,1679.0,86
1164,0.06226,0.31042,1,1,4689.0,104
746,0.06229,0.28814,1,1,569.0,39
470,0.06313,0.3947,1,1,2305.0,156
1243,0.06322,0.39726,1,1,250.0,15
87,0.06385,0.26,1,1,1202.0,45
1848,0.065,0.28978,1,1,10848.0,110
1725,0.06504,0.28272,1,1,827.0,19
509,0.06545,0.39706,1,1,277.0,16
992,0.06546,0.44635,1,2,823.0,102
2265,0.06575,0.4,1,1,77.0,3
1914,0.06583,0.24294,1,1,4076.0,157
1095,0.06601,0.3141,1,1,600.0,30
1342,0.06612,0.40625,1,1,160.0,12
1786,0.06701,0.37037,1,1,410.0,44
1657,0.06737,0.45665,1,2,648.0,50
1840,0.06753,0.34579,1,1,337.0,37
569,0.06802,0.33027,1,1,6749.0,102
2323,0.06819,0.5061,1,3,781.0,29
1539,0.06829,0.35294,1,1,79.0,10
1876,0.06872,0.5,1,3,86.0,5
1443,0.06933,0.38526,1,1,2221.0,182
1008,0.0694,0.55263,1,4,511.0,40
392,0.07043,0.35175,1,1,11444.0,104
459,0.0707,0.43871,1,2,1195.0,67
1701,0.07073,0.37676,1,1,1390.0,31
772,0.0711,0.41935,1,1,272.0,42
2110,0.07124,0.29648,1,1,12470.0,222
2428,0.07136,0.66667,1,5,323.0,19
1810,0.07148,0.33431,1,1,4026.0,266
1935,0.0719,0.31547,1,1,12371.0,177
797,0.07195,0.33513,1,1,3060.0,92
1318,0.07211,0.29663,1,1,5584.0,74
1168,0.07237,0.3287,1,1,874.0,69
1586,0.07257,0.27561,1,1,2237.0,72
1240,0.07262,0.32951,1,1,11250.0,217
2332,0.07275,0.41538,1,1,354.0,16
1031,0.07305,0.38736,1,1,4232.0,146
935,0.07345,0.4378,1,2,1565.0,57
2189,0.07361,0.41569,1,1,1335.0,91
1362,0.074,0.34752,1,1,1419.0,61
45,0.074,0.2827,1,1,807.0,57
500,0.07402,0.4,1,1,85.0,5
1865,0.07421,0.32642,1,1,6652.0,161
119,0.07479,0.35733,1,1,2593.0,62
1037,0.07483,0.41477,1,1,1077.0,33
1871,0.07541,0.31373,1,1,547.0,20
1654,0.07559,0.36757,1,1,787.0,40
439,0.07565,0.30435,1,1,568.0,38
1175,0.0759,0.39405,1,1,7404.0,135
1091,0.07592,0.39768,1,1,5617.0,116
1171,0.07607,0.41091,1,1,997.0,34
1115,0.07615,0.41618,1,1,1829.0,51
810,0.07618,0.27273,1,1,540.0,37
