analysis,metric,value
main_sample,pairs,38327
main_effect,days_to_next_diff,-0.217736
main_effect,quantity_diff,0.416029
main_effect,actual_spend_diff,-0.320268
main_effect,regular_value_diff,1.846319
cluster_t,days_to_next,-0.872233
cluster_t,quantity,48.648739
cluster_t,actual_spend,-19.419862
post_window,post28_quantity_diff,-0.008106
post_window,post56_quantity_diff,-0.030557
post_window,cannibalization_56,0.073002
post_window,incrementality_56,0.926998
post_cluster_t,post28,-0.809046
post_cluster_t,post56,-2.008583
mailer,discount_first_stage,0.178200
mailer,quantity_diff,0.471630
mailer,actual_spend_diff,0.306273
mailer,days_to_next_diff,-0.346940
segment,stockup_households,679
segment,relationship_households,553
segment,basket_expander_households,250
segment,discount_dependent_households,50
segment,low_unclear_households,604
trial,deep_first_any_repeat_56,0.3807
trial,not_deep_first_any_repeat_56,0.3342
trial,deep_first_regular_repeat_56,0.1524
trial,not_deep_first_regular_repeat_56,0.2075
category_role,destination_categories,11
category_role,routine_categories,35
category_role,seasonal_categories,40
category_role,convenience_categories,178
