COMMODITY_DESC,households,deep_events,full_events,visit_diff,visit_se,spend_diff,spend_se,performance_quadrant
FROZEN BREAD/DOUGH,49,53,68,0.31632653061224481,0.48863319410718464,43.090544217687089,31.845665468478781,Q1 Relationship strengthened
SPRING/SUMMER SEASONAL,34,34,71,0.45294117647058796,0.52577526277869668,42.041068627450976,26.698231390486932,Q1 Relationship strengthened
ELECTRICAL SUPPPLIES,27,29,55,0.16975308641975306,0.77296129599948149,40.843395061728387,30.5154886388848,Q1 Relationship strengthened
TOYS AND GAMES,39,42,91,0.81282051282051271,0.62721267092575828,36.639410256410265,36.366310670290723,Q1 Relationship strengthened
MOLASSES/SYRUP/PANCAKE MIXS,86,126,115,0.021317829457364254,0.38686930111540629,31.533594961240325,17.753877780868876,Q1 Relationship strengthened
VITAMINS,64,98,107,0.35078125000000004,0.35301193439847467,27.33827083333334,19.645418753640513,Q1 Relationship strengthened
FRZN BREAKFAST FOODS,66,83,106,0.90151515151515149,0.40985855629211193,26.797749999999986,24.682964249969213,Q1 Relationship strengthened
BROOMS AND MOPS,50,55,128,0.491,0.39100492947696125,26.314186190476168,25.799670608324419,Q1 Relationship strengthened
CORN,85,102,140,0.53196078431372551,0.3304883506797277,25.635156862745102,16.835725847661998,Q1 Relationship strengthened
DELI MEATS,37,37,194,0.13722030300977675,0.48309775507907776,24.980513188110717,24.088094478520954,Q1 Relationship strengthened
FRZN VEGETABLE/VEG DSH,181,264,278,0.0077874243620100255,0.20460819587082785,24.956891212838716,11.166479304900383,Q1 Relationship strengthened
PWDR/CRYSTL DRNK MX,105,126,277,0.47032123960695382,0.29210104069545512,24.686941723356007,13.847015544318342,Q1 Relationship strengthened
COCOA MIXES,39,49,75,0.56153846153846143,0.56654696740791932,23.993341880341895,25.279185578447631,Q1 Relationship strengthened
BAKING MIXES,378,516,916,0.18363892133733398,0.14875756867359283,23.898141854104161,7.0857483473454739,Q1 Relationship strengthened
ORGANICS FRUIT & VEGETABLES,125,139,549,0.17520811008637105,0.27236307211350846,18.474130437604273,13.616254263124796,Q1 Relationship strengthened
DOG FOODS,94,127,200,0.10997973657548123,0.34827529614435,17.468075396825405,13.457072971296176,Q1 Relationship strengthened
WAREHOUSE SNACKS,66,82,126,0.92211399711399755,0.4415319844924287,17.117333152958157,19.419833932129524,Q1 Relationship strengthened
HAND/BODY/FACIAL PRODUCTS,36,44,83,0.42731481481481481,0.57664080468423862,16.620361111111119,29.317132618905049,Q1 Relationship strengthened
PEPPERS-ALL,142,162,595,0.31615560742691939,0.26927845650123733,16.03315863202566,12.380542958143129,Q1 Relationship strengthened
PASTA SAUCE,187,239,437,0.2939202953908836,0.20131602477014091,14.079880336983287,9.4103228865287853,Q1 Relationship strengthened
BAKED SWEET GOODS,373,531,1447,0.11560913188453042,0.13677419227723084,13.877602905724904,6.3704557314919814,Q1 Relationship strengthened
FRZN NOVELTIES/WTR ICE,260,371,509,0.38338467088467038,0.18852305584370152,13.194991588966591,8.9389790945735825,Q1 Relationship strengthened
GREETING CARDS/WRAP/PARTY SPLY,20,22,116,1.3336507936507935,0.81935951404781082,12.883472619047623,35.478841867624716,Q1 Relationship strengthened
CAT FOOD,62,79,276,0.25955831802606011,0.44162393399624977,12.405565626577722,17.599458743518998,Q1 Relationship strengthened
SALD DRSNG/SNDWCH SPRD,530,775,1292,0.23036101738931947,0.12101263455333301,12.117894804933016,5.6395980608383027,Q1 Relationship strengthened
STATIONERY & SCHOOL SUPPLIES,114,132,333,0.59942602298395031,0.30861637591806323,11.653418164633099,15.452602872582743,Q1 Relationship strengthened
PET CARE SUPPLIES,36,41,106,0.73780864197530871,0.57795572060804179,11.076765432098771,31.275543163720346,Q1 Relationship strengthened
PAPER HOUSEWARES,73,81,185,0.3641544148393463,0.31456760444957227,10.802628895077515,14.462986528754504,Q1 Relationship strengthened
ONIONS,365,436,2173,0.27942446209986743,0.15008063599606605,8.8124847956775323,6.9842740014292515,Q1 Relationship strengthened
FEMININE HYGIENE,51,55,126,0.37254901960784315,0.54938464755125194,8.2385539215686272,26.438193826116564,Q1 Relationship strengthened
DINNER MXS:DRY,381,542,943,0.058176345381069784,0.1483801811825817,7.8168981225831651,6.94336216346567,Q1 Relationship strengthened
CEREAL/BREAKFAST,37,44,93,0.33762333762333746,0.38067553965626433,7.6657528957528962,17.463279537724258,Q1 Relationship strengthened
PORK,442,760,857,0.13570677688324762,0.13383649543420129,6.9873640840368818,6.019928572442959,Q1 Relationship strengthened
SEAFOOD - FROZEN,198,289,329,0.1097925424012379,0.21467889667107354,6.7969639458769882,11.125123363722516,Q1 Relationship strengthened
