category,n_pairs,visit28_diff,t_visit,spend28_diff,t_spend,quadrant,visit28_ci_low,visit28_ci_high,spend28_ci_low,spend28_ci_high
TOMATOES,436,-0.0066484766094498,-0.0787570933607031,6.156630816815613,1.3767088467969966,Q3 방문감소·지출증가,-0.1721067686624626,0.15880981544356298,-2.6084733147030166,14.921734948334244
GRAPES,523,-0.0480713323151505,-0.5710910872423505,-1.712733860871419,-0.4033913970086153,Q4 약화,-0.21305344014782185,0.11691077551752084,-10.034573127156728,6.6091054054138905
BEANS - CANNED GLASS & MW,248,0.0897296111988519,0.5971608824497775,-18.242492145884658,-2.473306597430814,Q2 방문증가·지출감소,-0.20478070104441656,0.3842399234421203,-32.698962946179,-3.786021345590312
TROPICAL FRUIT,815,-0.0046011583054668,-0.0716904968093772,-1.2594208945655774,-0.4373475799950997,Q4 약화,-0.13039565939107411,0.1211933427801405,-6.903592867293058,4.384751078161903
MISC. DAIRY,54,0.2286501050389939,0.5630539501964121,-3.336922663755987,-0.1956877267102977,Q2 방문증가·지출감소,-0.5672846463646626,1.0245848564426503,-36.75939902909443,30.08555370158246
VITAMINS,48,-0.0455439814814814,-0.1294040769266234,-14.155237095658975,-0.6574053187430239,Q4 약화,-0.7353692622902196,0.6442812993272568,-56.357914677488324,28.047440486170373
ICE CREAM/MILK/SHERBTS,514,-0.0509405358520335,-0.5456409379449523,-0.5194698386176222,-0.128728609752881,Q4 약화,-0.23392433220357944,0.13204326049951243,-8.428829581141779,7.389889903906534
POPCORN,123,0.0775106155229106,0.3790125078352769,-0.8576120233364093,-0.1007356821563738,Q2 방문증가·지출감소,-0.32332261104419585,0.47834384209001707,-17.54404854470766,15.828824498034843
COLD CEREAL,601,0.1569876040608054,1.6595564812072143,0.0338035982650084,0.0076760292779715,Q1 강화,-0.028420791160158054,0.34239599928176884,-8.597619003203405,8.665226199733421
PICKLE/RELISH/PKLD VEG,164,0.0633872013628803,0.3141676647590968,-5.064017694207577,-0.5886937847988709,Q2 방문증가·지출감소,-0.3320669736124838,0.45884137633824434,-21.924183262352518,11.796147873937361
TURKEY,33,-0.2290686541882715,-0.4241449303098563,19.69585315734239,0.838630133015125,Q3 방문감소·지출증가,-1.287609096675741,0.8294717882991979,-26.33620635094009,65.72791266562487
SALADS/DIPS,73,0.0593047470609404,0.2493006943346963,1.6738008476473494,0.1536294877878959,Q1 강화,-0.4069486845616362,0.525558178683517,-19.68049583475869,23.02809753005339
BROCCOLI/CAULIFLOWER,80,0.0230947862577952,0.1113422736956375,3.982585738371735,0.381120898274779,Q1 강화,-0.38345143884459515,0.42964101136018557,-16.498757799973824,24.463929276717295
STATIONERY & SCHOOL SUPPLIES,66,-0.0661424242559455,-0.2082844368709349,6.386901625667009,0.3851666375583547,Q3 방문감소·지출증가,-0.6885564341033789,0.5562715855914878,-26.114166653931193,38.88796990526521
FROZEN MEAT,103,-0.2619249639249639,-0.962813480383894,-11.708699206349204,-0.7460419554001633,Q4 약화,-0.7951257756629099,0.2712758478129821,-42.46977139314731,19.052372980448908
HAND/BODY/FACIAL PRODUCTS,22,-0.511825017088175,-1.3079230483221254,-56.25653696741854,-2.012669696571581,Q4 약화,-1.2788250594681552,0.25517502529180514,-111.04089261403261,-1.4721813208044665
