category,n_pairs,verdict,net_now,t_net,net_pct,qty_pct,elasticity,significant_bh,net_later,t_cann,halo_eff,t_halo,basket_total,t_basket,visit28_diff,t_visit,spend28_diff,t_spend,quadrant,action,confidence,confidence_rank,net_now_ci_low,net_now_ci_high,basket_total_ci_low,basket_total_ci_high,spend28_ci_low,spend28_ci_high
BEEF,1323,확대,1.668380306551486,14.933551600160838,22.3478185020236,30.23694315762904,1.6522967142233205,True,-0.3841886830809459,-1.8366728159358028,5.177619760116259,6.990542531489226,6.846000066667744,8.80645527907101,0.0196648172830937,0.3493168790935061,0.3204769757080561,0.1305708420124089,Q1 강화,확대 — 최우선,상,1,1.449408591825185,1.8873520212777868,5.322326839988478,8.36967329334701,-4.490205583328323,5.131159534744435
SOFT DRINKS,1257,확대,1.275444187143318,13.850137803766875,31.380836080649583,40.61367040949106,2.168946956459037,True,-0.2056142410280028,-1.1575438415967736,5.734878600697945,7.873130566155308,7.010322787841263,9.403598355586992,-0.0639213136359102,-1.4110268550836589,-1.212152330223431,-0.6683374496721445,Q4 약화,확대 — 최우선,상,1,1.094949910319516,1.45593846396712,5.549155249139938,8.471490326542588,-4.766971184685936,2.342666524239074
CANDY - PACKAGED,318,확대,1.2358966817844312,5.04928279652762,35.14262447536169,38.67811135546824,3.208020635849494,True,-0.4130731539015292,-1.21337945741876,2.9642078834791925,1.6928488491923748,4.200104565263624,2.353252396806153,-0.0883906722944833,-1.0935388650224924,-0.7687892132345145,-0.2200111522389246,Q4 약화,확대 — 최우선,상,1,0.7561537967229459,1.7156395668459166,0.701880167791642,7.698328962735606,-7.617655021197222,6.080076594728193
DELI MEATS,568,확대,0.9471666809606456,9.06885334595671,16.251656993501324,15.317817922586377,2.4895324235209975,True,-0.1227173337228288,-0.4977438406327265,3.0906039312572555,2.181820810864321,4.037770612217901,2.814269612238887,,,,,,확대 — 최우선,상,1,0.7424609013142529,1.1518724606070383,1.2256625023445569,6.849878722091246,,
FROZEN PIZZA,621,확대,0.7131734400853085,6.140819169656124,11.86947425620276,21.829059824531992,1.9605613041179355,True,0.0537523251605044,0.2073132613521774,5.877339742487946,4.2857884787776035,6.590513182573255,4.695069444773644,-0.0807778339544908,-0.8194970243606844,-1.486492873274906,-0.3148283731714479,Q4 약화,확대 — 최우선,상,1,0.48554583797738315,0.9408010421932338,3.839242729646792,9.341783635499718,-10.740824057815825,7.767838311266012
BAKED SWEET GOODS,235,확대,0.3830418083497781,4.21067828106568,12.84734557781871,23.50971834985399,1.4488007061046886,True,-0.0930786628613926,-0.3488097233368279,6.880865120790452,3.107361261501372,7.26390692914023,3.243221968742361,-0.1064783759607804,-0.9156945010288474,-0.7161540957677276,-0.1169222436039148,Q4 약화,확대 — 최우선,상,1,0.2047422817054497,0.5613413349941064,2.87405704580471,11.65375681247575,-12.721243841220991,11.288935649685536
VEGETABLES - SHELF STABLE,279,확대,0.3772095683485275,3.9775214540826345,15.73900952735314,37.89649309517295,2.005832429014593,True,-0.2083386012612443,-1.2304188743069004,9.716941958605702,4.386177521767548,10.09415152695423,4.489892946779322,0.0867115066970861,1.2501386633683178,2.2745517744240216,0.7220802215728104,Q1 강화,확대 — 최우선,상,1,0.19133231727694747,0.5630868194201075,5.687690787835254,14.500612266073205,-3.899445718763861,8.448549267611904
BAG SNACKS,655,확대,0.3372949941776473,5.52390362016125,10.056240991829435,4.90921022766603,0.3917405621397847,True,-0.2710935959634531,-1.6791585560312614,6.7819273230163075,5.135425264638801,7.119222317193955,5.323209729404642,-0.0569714132817602,-0.7786374490463431,-4.254091338682968,-1.369537448684368,Q4 약화,확대 — 최우선,상,1,0.21761546425694056,0.45697452409835404,4.497932446794511,9.7405121875934,-10.342292162857909,1.8341094854919744
CHEESE,1266,확대,0.2834137844442278,5.924856805665646,7.518851289034825,27.850825612017672,2.025032594042787,True,-0.0656291323373066,-0.5761501948556547,3.8595012577712167,4.69567578923181,4.142915042215445,4.948289801357438,-0.0482688029868801,-0.8706088782591692,-2.810140949025234,-1.1325631979760262,Q4 약화,확대 — 최우선,상,1,0.18965776033584802,0.3771698085526076,2.501921121343081,5.783908963087809,-7.673336459820957,2.053054561770489
COLD CEREAL,474,확대,0.2513294459242811,3.0829615950538236,5.741369680888072,24.60943882187709,1.634813123656751,True,-0.0350541810964425,-0.1618285391197932,3.984550187349888,2.545277409513426,4.235879633274169,2.6623503254073233,0.1569876040608054,1.6595564812072143,0.0338035982650084,0.0076760292779715,Q1 강화,확대 — 최우선,상,1,0.09154616649520639,0.41111272535335575,1.1174605424480335,7.354298724100304,-8.597619003203405,8.665226199733421
CRACKERS/MISC BKD FD,416,확대,0.1984716533612546,3.1253081030261267,7.23235821365344,16.629518564246677,1.0422805612585462,True,-0.2024480995061825,-1.4437505444586902,4.55225560162428,2.7564318461107473,4.750727254985534,2.8522111682556943,-0.185263633994232,-2.478762993558876,-11.845985169914837,-3.2462035254625596,Q4 약화,확대 — 최우선,상,1,0.07400250415596517,0.32294080256654406,1.4860933024208767,8.015361207550193,-18.998380499078515,-4.693589840751157
FRZN POTATOES,155,축소,-0.1862818787033486,-2.6062006655634993,-6.958493980525729,5.581357837035956,0.4076584018752034,True,0.1992766335088165,1.1280921168850366,-4.554074743467907,-1.932046136957443,-4.740356622171255,-1.9952411314311984,-0.5148812353224117,-1.5775415163622282,14.085532023314386,1.0641551640572695,Q3 방문감소·지출증가,축소 — 최우선,상,1,-0.3263756508686706,-0.04618810653802666,-9.396986256099812,-0.08372698824269875,-11.857717324306538,40.028781370935306
