segment,role_label,n_pairs,n_households,n_categories,avg_net_diff,avg_qty_diff,n_expand_pairs,n_shrink_pairs,category_action,suggested_strategy
S1 재고비축형,R1 집객형,2596,672,8,0.5563424053323038,0.5448206926090886,1796,800,확대,확대 — 2순위 (집객·계절 role만 선별)
S1 재고비축형,R2 일상구매형,1224,526,6,0.1800673508957323,0.349167321299316,467,757,축소,축소 — 반복노출 자제 (재구매 시점만 당길 위험)
S1 재고비축형,R3 계절형,601,321,7,0.3356907182036127,0.5564199477746891,225,376,축소,축소 — 표준 집행
S1 재고비축형,R4 편의보완형,2148,525,23,-0.0828473826795668,0.2909293773817769,629,1519,축소,축소 — 반복노출 자제 (재구매 시점만 당길 위험)
S2 관계강화형,R1 집객형,1801,497,8,0.5270816264222768,0.5108778343398819,1253,548,확대,확대 — 최우선 (매장 전체 지출까지 함께 증가하는 유일한 세그먼트)
S2 관계강화형,R2 일상구매형,810,366,6,0.2245928919379484,0.3231388585290222,320,490,축소,축소 — 표준 집행
S2 관계강화형,R3 계절형,350,205,7,0.379051472175088,0.4937784877345167,135,215,축소,축소 — 표준 집행
S2 관계강화형,R4 편의보완형,1370,369,23,-0.1331263813382582,0.2305524913444414,396,974,축소,축소 — 표준 집행
S3 장바구니재편형,R1 집객형,975,239,8,0.7274708414376164,0.5912416244149273,702,273,확대,"유지 — 경계사례, 소규모 테스트 후 판단 (halo 양수·매장지출 음수 상충)"
S3 장바구니재편형,R2 일상구매형,409,186,6,0.3201145910573428,0.3339031899850987,174,235,축소,축소 — 표준 집행
S3 장바구니재편형,R3 계절형,202,93,7,0.1112703207630689,0.5859527851120893,76,126,축소,축소 — 표준 집행
S3 장바구니재편형,R4 편의보완형,748,187,23,0.0779245580742154,0.3254488674205337,231,517,축소,축소 — 표준 집행
S4 전단지의존형,R1 집객형,171,52,8,-0.2558157534579834,0.4205543466621844,109,62,확대,"보류 — 모니터링만 (표본 작음, role 무관 신규확대 금지)"
S4 전단지의존형,R2 일상구매형,88,39,6,-0.3588018250587244,0.0125641272096552,24,64,축소,"보류 — 모니터링만 (표본 작음, role 무관 신규확대 금지)"
S4 전단지의존형,R3 계절형,37,21,7,-0.6148062181323052,0.4278612251438338,13,24,축소,"보류 — 모니터링만 (표본 작음, role 무관 신규확대 금지)"
S4 전단지의존형,R4 편의보완형,140,37,20,-0.5945848679960486,0.1257151826796628,27,113,축소,"보류 — 모니터링만 (표본 작음, role 무관 신규확대 금지)"
S5 반응불분명형,R1 집객형,2029,525,8,0.5689048598455326,0.518982622856051,1441,588,확대,확대 — 카테고리 판정대로 (세그먼트 가중 없음)
S5 반응불분명형,R2 일상구매형,881,396,6,0.1848078079755731,0.350849466750277,361,520,축소,축소 — 카테고리 판정대로 (세그먼트 가중 없음)
S5 반응불분명형,R3 계절형,439,256,7,0.3420674014863459,0.547720576974564,164,275,축소,축소 — 카테고리 판정대로 (세그먼트 가중 없음)
S5 반응불분명형,R4 편의보완형,1604,396,23,-0.0927887450545591,0.2531269207068756,457,1147,축소,축소 — 카테고리 판정대로 (세그먼트 가중 없음)
