category,n_pairs,focal_eff,halo_eff,t_halo,basket_total,t_basket
PORK,618,0.0014735755669291646,2.067492451152305,1.51064190493471,2.068966026719234,1.4830146316031367
CHEESE,1266,0.2834137844442277,3.8595012577712167,4.69567578923181,4.142915042215444,4.948289801357437
LAUNDRY DETERGENTS,151,-0.37998088124180945,2.255852309337334,0.7813955399079511,1.8758714280955244,0.6557869631279182
COFFEE,109,0.5101662909763525,-1.6375031381795804,-0.5167463213943115,-1.127336847203228,-0.35464153801058595
STONE FRUIT,236,0.1650585096112576,1.063727576422462,0.5075411178229698,1.2287860860337196,0.5867528891897769
FRUIT - SHELF STABLE,149,0.2290984383388569,-2.176667496019077,-0.7041037627815678,-1.9475690576802203,-0.6196364109996495
SALD DRSNG/SNDWCH SPRD,261,-0.08032207627986396,6.707060332299268,2.639293088955094,6.626738256019404,2.5852345725441226
BREAKFAST SWEETS,216,-0.12928440684216452,3.3212535005660384,1.414610837762531,3.191969093723874,1.3591172237824836
CHICKEN/POULTRY,213,-0.0574410106490657,0.6416711544736894,0.26948236350589183,0.5842301438246237,0.24217567741752324
MEAT - MISC,151,0.8208115186514028,-1.0461357322643126,-0.31416619510527105,-0.22532421361290977,-0.06550508959815654
FRZN VEGETABLE/VEG DSH,419,0.05736645122438922,-0.13639287504770747,-0.0846796517034098,-0.07902642382331826,-0.04864550573226015
VEGETABLES - SHELF STABLE,279,0.3772095683485274,9.716941958605702,4.386177521767548,10.09415152695423,4.489892946779323
SOFT DRINKS,1257,1.275444187143318,5.734878600697944,7.8731305661553055,7.010322787841262,9.403598355586992
BEEF,1323,1.668380306551486,5.177619760116261,6.990542531489229,6.846000066667747,8.80645527907101
CHICKEN,701,-0.15510086774861562,0.18932226739917424,0.1428349973631985,0.03422139965055862,0.025565106277033848
CANDY - CHECKLANE,338,-0.029321910226585497,-4.062907277230431,-2.636980773374603,-4.092229187457016,-2.645751635516177
BERRIES,347,-0.24235371338600495,0.47669917021034924,0.255114627891335,0.2343454568243443,0.12524252239089256
FLUID MILK PRODUCTS,1704,-0.10723304161088733,1.5698740757054748,2.8166176853838643,1.4626410340945875,2.599569863473184
EGGS,565,-0.09513652238065508,-0.6196138048166041,-0.45150401180559024,-0.7147503271972592,-0.5193760971096618
POTATOES,339,-0.46977106147897474,1.58724920576567,0.7861704759586441,1.1174781442866952,0.5515983009521992
ONIONS,160,-0.43806296707926407,6.496207201306769,2.2026056445077677,6.0581442342275045,2.0488041548830993
SOUP,181,0.9090659932235533,1.169485489400768,0.48588795652268285,2.0785514826243214,0.8559435020000051
FRZN NOVELTIES/WTR ICE,145,0.19664834902638675,1.1663054570986746,0.3622526482714826,1.3629538061250615,0.418738753426189
LUNCHMEAT,647,0.4031141019236143,0.8485952050652316,0.657195771174987,1.2517093069888459,0.9572935358860903
HEAT/SERVE,109,-0.23513918459281755,-0.11716823480596193,-0.04579502592742383,-0.35230741939877946,-0.13569664030584175
DRY BN/VEG/POTATO/RICE,104,0.5256598211180226,1.7649329809070105,0.4694312792904876,2.2905928020250332,0.6017724350828065
BAG SNACKS,655,0.33729499417764724,6.781927323016307,5.135425264638801,7.1192223171939535,5.323209729404641
MILK BY-PRODUCTS,637,-0.15197857465889816,5.27824192361827,4.066623674200998,5.126263348959372,3.9417631679965743
BAKED BREAD/BUNS/ROLLS,927,-0.06914789094762361,3.3428206410106527,3.5551085138893512,3.273672750063029,3.435773274316661
FRZN MEAT/MEAT DINNERS,645,0.6098406291380016,-0.5550928587999416,-0.42157312093393146,0.05474777033806,0.04055671393992763
SEAFOOD-FRESH,105,0.49154408847213144,5.810219347644147,1.9235446260733386,6.301763436116278,2.1048831117220046
BATH TISSUES,144,0.13329224906831566,4.974159157878881,1.5287499903761619,5.107451406947196,1.56649126286556
CRACKERS/MISC BKD FD,416,0.19847165336125475,4.55225560162428,2.7564318461107473,4.750727254985534,2.8522111682556943
YOGURT,488,-0.09574465197482267,-0.5211657846529837,-0.4134791552101703,-0.6169104366278063,-0.4854931064214413
PASTA SAUCE,121,-0.15696366441977935,-2.817266663086499,-0.9586531399359031,-2.9742303275062785,-1.0061440183197483
BAKED SWEET GOODS,235,0.3830418083497782,6.880865120790453,3.1073612615013735,7.263906929140232,3.2432219687423625
VEGETABLES - ALL OTHERS,282,-0.21517311223977045,0.49519234533380296,0.29186994726056475,0.28001923309403254,0.16458976581032214
DINNER SAUSAGE,317,0.06951272741807173,1.1848274954017217,0.4969896710197168,1.2543402228197935,0.5217038296663532
BREAKFAST SAUSAGE/SANDWICHES,302,-0.23983786063171222,1.7015791714420203,0.6729678199746596,1.4617413108103081,0.5736948089546596
DIAPERS & DISPOSABLES,111,-0.45506137633818705,1.8712508168202715,0.5931535324256064,1.4161894404820845,0.44621197566213394
COOKIES/CONES,213,0.5667451466219148,4.045363434749344,1.3468576059407538,4.612108581371259,1.5077957762202574
CANDY - PACKAGED,318,1.2358966817844312,2.964207883479191,1.6928488491923745,4.200104565263622,2.3532523968061527
SEAFOOD - FROZEN,174,1.0463044525499212,-1.3367872158292422,-0.48584748489769863,-0.290482763279321,-0.10316482549021848
COOKIES,115,-0.3912873339263749,-2.1995391574623153,-0.5425321963165297,-2.59082649138869,-0.6378675982087118
REFRGRATD JUICES/DRNKS,738,-0.09982025374331085,2.0281059021908585,1.7646667256920854,1.9282856484475477,1.6676842540450065
MEAT - SHELF STABLE,161,0.5532821410552219,4.78765856006332,1.673385766640015,5.340940701118542,1.8283540591871392
SALAD MIX,639,-0.31176647544629327,1.9560278578813435,1.5271016348548452,1.6442613824350503,1.2796619283551833
APPLES,432,-0.30988391671093435,3.0645094807610014,1.916402882368783,2.754625564050067,1.7146917872927168
CHEESES,244,0.08140637839207601,3.4731226031134366,1.3365250221760598,3.5545289815055128,1.357898920978875
REFRGRATD DOUGH PRODUCTS,437,0.17435211065290906,1.9277980116486815,1.1265676177477228,2.1021501223015906,1.2204224132545467
CARROTS,136,-0.3785344449978333,-2.312882484929967,-0.8325705546327428,-2.6914169299278003,-0.9689588631243289
FROZEN PIZZA,621,0.7131734400853087,5.877339742487945,4.285788478777603,6.590513182573254,4.695069444773644
DELI MEATS,568,0.9471666809606457,3.090603931257256,2.181820810864321,4.037770612217901,2.814269612238887
FRZN BREAKFAST FOODS,126,0.16208322270414768,-0.16665072420784913,-0.0452112726917548,-0.004567501503701443,-0.0012335596255074583
FRZN POTATOES,155,-0.1862818787033486,-4.554074743467904,-1.9320461369574422,-4.7403566221712525,-1.9952411314311973
BACON,209,-0.18031490049246796,3.377537172117769,1.2639160174203432,3.1972222716253014,1.1844243263789649
DINNER MXS:DRY,139,0.16126033576554846,-2.321756406991415,-0.7032057837390383,-2.1604960712258663,-0.6493247695864209
HOT DOGS,260,-0.03805754962217744,-0.10258511718597096,-0.038649564892939546,-0.1406426668081484,-0.052663233835544596
MARGARINES,105,-0.07656869079459568,-1.1728984042213288,-0.3449284772686332,-1.2494670950159246,-0.3669149607854267
MELONS,143,-0.7144172024654093,-1.0762152927379962,-0.360368486236169,-1.7906324952034054,-0.6009384365356353
MUSHROOMS,119,-0.573616883184156,0.22260360727282455,0.0913734366707606,-0.35101327591133147,-0.14348842339366258
CONVENIENT BRKFST/WHLSM SNACKS,326,0.17131807816719108,-2.6461592619612757,-1.4227125273240688,-2.4748411837940845,-1.317791665214253
CANNED JUICES,241,0.29741209859082707,2.3766815926074614,0.960835258553862,2.6740936911982884,1.0697797346077205
CITRUS,159,0.10359349369004003,3.055414335372231,1.074337542960558,3.159007829062271,1.1052770994374992
PEPPERS-ALL,123,-0.1061074192141488,3.582437809615654,1.0492186240846617,3.4763303904015053,1.014878255247828
GRAPES,502,-1.0660764007307801,-0.5977007685314532,-0.3980905605044107,-1.6637771692622332,-1.103581764455732
TOMATOES,429,-0.6981909996280471,-1.0493165109226241,-0.7350908607970822,-1.7475075105506712,-1.2173340714371528
COLD CEREAL,474,0.251329445924281,3.984550187349889,2.5452774095134267,4.23587963327417,2.6623503254073237
ICE CREAM/MILK/SHERBTS,672,-0.3020570120866085,0.17900522347619383,0.13767288863907712,-0.12305178861041469,-0.09418089227034632
TROPICAL FRUIT,940,-0.269876898606398,-0.2161445937008579,-0.2330847474804351,-0.4860214923072559,-0.5224096516527307
BROCCOLI/CAULIFLOWER,180,-0.308098519940185,0.1506249202732689,0.05865378383447148,-0.1574735996669161,-0.06118867135269741
FROZEN MEAT,154,0.6297334356310115,2.753098904594777,0.9325054729524425,3.3828323402257885,1.135523053592745
